word,definition
large intestine,"the bowel between the small intestine and the anus,
including the cecum, colon, and rectum"
largyngectomy,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
laryngeal,having to do with the voice box
laryngeal nerve,nerve in the throat
laryngectomy,surgery to remove the voice box
laryngitis,inflammation of the voice box
laryngocentesis,surgery to puncture the voice box
laryngoplasty,surgery to fix the voice box
laryngoscope,tool used to look into the voice box
laryngospasm,"sudden, uncontrolled cramp in the voice box"
laryngostomy,surgery to make an opening into the voice box
laryngotracheobronchitis,"inflammation of the larynx, windpipe, and bronchi;
croup"
larynx,voice box
laser angioblast,using a laser light to open blocked arteries
lassitude,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
latent,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
lateral,toward or having to do with the side of the body
latex agglutination test,blood test used to detect antibodies
latitude,"range, scope"
laud,praise
laxative,drug used to stop constipation
le (lupus erythematosus)-cell test,"blood test used to detect the presence of a certain type
of white blood cell seen in people with lupus
erythematosus and similar disorders"
leg,"the leg is between your hip and foot. your legs enable you
to stand and walk."
legionnaires' disease,"serious disorder caused by bacterial infection in which
there is high fever, stomach pain, headache, and
pneumonia"
legionnaires’ disease,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
legislation,law
leiodermia,disorder in which the skin is too smooth and shiny
leiomyoma,smooth muscle growth
leiomyosarcoma,cancer of smooth muscle
lens,"structure in the eye that is normally clear and helps to
focus light coming into the eye"
lesion,"abnormal area of tissue, such as a wound, sore, rash, or
boil"
lethargy,sleepiness
leucocyte,"a leucocyte is a white blood cell that protects your body by
killing or hurting germs that cause diseases in your body.
when there are lots of leucocytes, it can mean there is an
infection or other sickness in your body."
leukemia,blood cancer
leukocoria,white pupil
leukocyte,"one of the infection-fighting cells in the blood and
body tissues; white blood cells"
leukocyte count,number of white blood cells in the blood
leukocytosis,increase in number of white blood cells in the blood
leukoderma,white skin
leukokoria,white pupil
leukopenia,low white blood cell count
libido,sexual desire
lice,"very tiny bugs found in your hair, eyebrows or eyelashes
that make you very itchy. these bugs can be on children
and jump to other kids."
ligament,elastic tissue that connects bone or cartilage
lipid,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
lipid content,fat content in the blood
lipid tests,blood tests that measure how much fat is in the blood
lipids,fats
lipoid,fatty
lipoma,growth made up of fat cells
lipoprotein electrophoresis,"blood test that measures the amounts of fat and protein
in the blood"
liposome,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
lithotripsy,surgery or other method to crush a stone
liver,"large organ that helps in many body functions,
including digestion, metabolism, and storage of
substances"
lobar pneumonia,bacterial infection of one or more sections of the lung
lobectomy,surgery to remove a section of the lung
local anesthesia,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
locality,"area, place, site, spot"
localized,"restricted to one area, limited to one area"
locate,"find, pinpoint"
location,"place, spot"
lochia,"normal discharge from the vagina for 1 to 2 weeks after
childbirth"
loin,"the lower part of our back, called the lumbar spine."
long bone,"bone that is long and slender, such as a leg or arm bone"
long-acting penicillin,"a type of medicine the doctor can give you if you have
had acute rheumatic fever (arf). this medicine helps
your body fight the sickness to stop your heart from
getting more sick, which can mean getting arf again, or
rheumatic heart disease (rhd). you can ask the doctor
about how to make the needle hurt less."
long-term,"for a long time, over a long period of time"
long-term extension,continuation of a research study
lordosis,"forward curving of the spine, causing saddle back or
swayback"
lou gehrig's disease (als),"a disease of the nerves and muscles that causes
weakness"
lower gi (gastrointestinal) series,"x-ray using a dye given as an enema to outline the
large intestine"
lower gi series,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
lower jaw,"the mandible is the bone of the lower jaw.
your bottom teeth sit in the mandible."
"lubricate
magnitude","grease, oil, extent, size"
lumbar puncture,"spinal tap using a needle to remove spinal fluid for
testing from the lower back"
lumbar region,lower back of the body
lumbar vertebrae,bones of the spine in the lower back
lumen,"the space inside a tube-like body structure, such as a
blood vessel"
lung fibrosis,excess of fibrous tissue in the lung
lung lobe,one of five sections of the two lungs
lungs,the two main organs for breathing
lupus erythematosus (le),"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
lymph,clear liquid tissue
lymph node,"tissue that filters disease germs from the blood; also
called a lymph gland"
lymphadenitis,inflammation of the lymph nodes
lymphadenography,x-ray of the lymph nodes
lymphangiography,"an x-ray of the lymph nodes or tissues after injection of
dye in lymph vessels"
lymphatic,"for a long time, over a long period of time"
lymphocyte,"a type of white blood cell important in immunity and
defense against infection"
lymphocytes,"for a long time, over a long period of time"
lymphoid tissue,tissue that contains lymphocytes
lymphoma,a cancer of the lymph nodes (or tissues)
maceration,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
macro -,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
macrophage,"for a long time, over a long period of time"
macular,"for a long time, over a long period of time"
macule,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
magnesium,an electrolyte that helps our body function.
"magnetic resonance
imaging (mri)","the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
magnetic resonance imaging (mri),"body pictures created using magnetic waves to look at
soft tissues of the body"
magnitude,"for a long time, over a long period of time"
maintain,"keep, support, take car"
majority,"bulk, mass, most"
malabsorption,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
malaise,"a vague feeling of bodily discomfort, feeling bad"
malfunction,"condition in which something is not functioning
properly"
malignancy,"cancer or other progressively enlarging and spreading
tumor, usually fatal if not successfully treated"
malignant,cancerous
malignant tumour,a lump in the body that is cancer.
mallet,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
mammary gland,"a special type of x-ray to look for any lumps inside
the breast"
mammary glands,milk-producing tissue in the breasts
mammary papilla,breast nipple
mammogram,x-ray of the breast
mammoplasty,surgery to reconstruct the breast
manage,"for a long time, over a long period of time"
mandible,lower jaw bone
manifest,"clear, plain"
manifestation,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
mantoux test,skin test used to check for tuberculosis
manufacture,"build, make, produce"
mastalgia,pain in the breast
mastectomy,surgery to remove a breast
mastitis,inflammation of the mammary gland or of the breast
mastoid cells,air spaces inside the mastoid process
mastoid process,"protruding part of a bone located in the skull behind the
ear"
mastoidectomy,surgery to remove the mastoid process or mastoid cells
mastoiditis,"inflammation of the air spaces in the mastoid process
that communicate with the middle ear"
mastoidotomy,surgery to cut into the mastoid process
mastoptosis,drooping breasts
matatarsal bones,foot bones
maxilla,upper jaw bone
maxillectomy,surgery to remove the upper jaw bone
maxillitis,inflammation of the upper jaw bone
maximum,"for a long time, over a long period of time"
meconium,first stool of the newborn
medial,toward or having to do with the middle of the body
median,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
mediastinum,"tissue and organs in the middle of the chest between
the two lungs"
medical history,"information about a patient obtained by questioning the
patient and the patient’s family"
medical record,"a chart containing all of the patient’s personal
information, doctor’s notes, nurse’s notes, test results,
and treatment information that may be kept by a
hospital or clinic"
medication,"drug, remedy, medicine, pill"
medications,"medicines, drugs"
medicine,"for a long time, over a long period of time"
mediocre,"ordinary, run-of-the-mill"
medulla oblongata,"part of the brain that controls breathing, blood pressure,
and other important body functions; brain stem"
medullablastoma,a type of brain tumor
medulloblastoma,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
megaloblastosis,change in red blood cells
meibomian cyst,"pimple on the eyelid caused by an inflamed gland
(stye)"
melanin,material that makes the color of the skin and hair
melanoma,cancerous black growth on the skin
melasma,"a blotchy brown stain on the skin, usually over the
cheeks, forehead, or neck; often associated with
pregnancy, menopause, or the use of oral
contraceptives"
menarche,time in life when a girl starts having a menstrual period
meniere's disease,"disorder of the inner ear in which there is dizziness,
ringing in the ears, and loss of hearing"
meniere’s disease,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
meninges,"three-layered tissue that covers the brain and spinal
cord"
meningitis,inflammation of the meninges
meningocele,bulging of the meninges through a hole in bone
meningomyeloradiculitis,"inflammation of the meninges and roots of the spinal
nerves"
meniscectomy,surgery to remove a meniscus
meniscitis,"inflammation of the meninges and roots of the spinal
nerves"
meniscus,one of two crescent-shaped pads inside the knee joint
menometrorrhagia,"too much bleeding from the uterus during menstruation
and at other times"
menopause,"for a long time, over a long period of time"
menses,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
menstrual,having to do with menstruation
menstrual period,the time of menstruation
menstruation,"monthly discharge of blood and tissue from the uterus
when females are not pregnant"
mentality,"frame of mind, mind, outlook"
metabolism,"for a long time, over a long period of time"
metabolize,"process of breaking down substances in the cells to
obtain energy"
metacarpal bones,bones of the hand between the wrist and fingers
metastasis,"spread of cancer cells from one part of the body to
another"
metatarsal bones,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
methodology,method
metrorrhea,discharge from the uterus
mg,"for a long time, over a long period of time"
micro-,describes something that is small or delicate
microbes,"for a long time, over a long period of time"
microcephalus,person with a very small head
microorganism,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
micturate,urinate
middle ear,the space between the eardrum and the inner ear
migraine,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
migrate,"move, travel"
migration,moving from one place to another
mild,not serious
mildew,fungus that grow in damp warm areas
milieu,"culture, scene, setting"
minimal,slight
minimize,reduce
miniscule,tiny
miotic,"substance that makes the pupil of the eye smaller (e.g.,
narcotic)"
miscarriage,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
mites,"very tiny, spider-like, animals that cause allergies"
mitigate,"ease, soften"
mitral commissurotomy,"surgery to repair the mitral valve to enlarge the
opening between the two parts of the left side of the
heart"
mitral valve,"valve between two chambers on the left side of the
heart"
mobility,ease of movement
moderate,"medium, mild, controllable"
modification,change
modify,change
molars,"back teeth, back “grinding” teeth"
mold,growth on food and damp surfaces
monitor,watch carefully
monoclonal antibody,"laboratory produced substance that recognized a
specific protein"
mononucleosis,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
monoparesis,"weak muscle movement and loss of feeling in one arm
or one leg"
monoplegia,"loss of movement and loss of feeling in one arm or one
leg"
monotherapy,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
morbidity,"diseased, sick, ill"
mortality,death
motility,ability to move
motivate,"cause, drive"
motor vehicle,"car, truck, van"
"motor vehicle accident
narrate","crash, recount, tell"
mouth,"opening through which food passes into the body to be
digested"
"mri – magnetic resonance
imaging","the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
mucopurulent,slimy and with pus in it
mucosa,lining
"mucosa, mucous membrane","moist lining of digestive, respiratory, reproductive, and
urinary tracts"
mucous membrane,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
mucus,slimy fluid
multicenter,"when more than one hospital or medical school team
work on a medical research study"
multigravida,women who has been pregnant two or more times
multipara,woman who has given birth two or more times
multiple dose,getting more than one dose of medicine
multiple sclerosis,a woman who has been pregnant before
multiple sclerosis (ms),"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
muscle,type of tissue that causes movement
muscular dystrophy (md),"genetic problem resulting in muscle weakness and
atrophy"
mutagen,cause
mutation,change over time
myalgia,muscles aches
myasthenia,muscle weakness
myasthenia gravis,disorder that causes muscles to get tired quickly
mycosis,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
mydriatic,substance that makes the pupil of the eye bigger
myelodysplasia,blood cancer
myelogram,"x-ray of the spinal cord using dye that is injected into
the spinal area"
myeloma,"cancer of the types of cells normally found in bone
marrow"
myelomalacia,softening of the spinal cord
myocardial,pertaining to the heart
myocardial infarction,when there is disease in muscle
myocardial infarction (mi),heart attack
myocardial ischemia,not enough blood going to the heart
myocarditis,inflammation of the heart muscle
myocardium,muscle of the heart
myoma,growth made up of muscle tissue
myomectomy,surgery to remove a myoma or a piece of muscle
myometritis,inflammation of the muscle of the uterus
myometrium,muscle of the uterus
myopathy,muscle disorder
myopia,nearsightedness
myoplasty,surgery to fix a muscle
myorrhaphy,surgery to stitch a muscle
myositis,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
myringitis,inflammation of the eardrum
myringoplasty,surgery to fix a ruptured eardrum
myxedema,"disorder caused by lack of thyroid hormone in which
areas of the skin are swollen"
nail,"tough plate of tissue covering the top of the end of each
finger and toe"
narcotic,"addictive pain medicine, drug"
nares,"nostrils are the two openings into our nose. they are
the pathway for air entering our body. when the air goes
through the nostrils, it becomes warm and moist. the hairs
in the nostrils stop dust and dirt from entering the lungs."
nasal,having to do with the nose
nasal cavity,the nasal cavity is the space behind our nose.
nasal septum,wall that divides the nose into two sides
nasogastric tube,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
nasogastric tube (ng tube),tube that goes through the nose and into the stomach
nasolacrimal duct,"tube that drains tears from the eye into the nose; tear
duct"
nasopharyngeal,having to do with the nasopharynx
nasopharyngitis,inflammation of the nasopharynx
natal,having to do with childbirth
national cancer institute (nci),"institute that supports cancer centers, funds research
and training, and provides cancer information"
national institutes of health (nih),the nation’s premier biomedical research organization
nausea,feeling sick to your stomach
nebulizer,machine that turns liquid asthma medicine into mist
nebulous,"cloudy, hazy, vague"
necessitate,"call for, compel, need"
necrosis,death of an area of tissue or skin
negligent,careless
negotiate,"bargain, talk busi"
neo-natal,newborn
neonatal,newborn
neonate,newborn infant
neonatology,the study of disorders of newborn infants
neophyte,beginner
neoplasia,"tumor, may be benign or malignant"
neoplasm,new growth that is not normal; tumor
nephrectomy,surgery to remove a kidney
nephritis,kidney inflammation
nephroblastoma,type of malignant kidney tumor
nephrogram,x-ray of the kidney
nephrohypertrophy,overgrowth of the kidney
nephrolithiasis,stones in the kidney
nephrology,study of kidney problems
nephroma,growth in the kidney
nephromegaly,overgrowth of the kidney
nephropexy,surgery to tie down a kidney
nephroptosis,sagging kidney
nerve,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
nervous tissue,"type of tissue that makes up the central nervous system
and nerves"
neuralgia,nerve pain
neuraminidase,enzyme on the surface of the virus
neurectomy,surgery to remove part of a nerve
neuritis,inflammation of a nerve
neuroarthropathy,"disorder of the joints and the central nervous system or
nerves"
neuroblast,cell that will develop into a nerve
neuroblastoma,a cancer of nerve tissue
neurohypophysis,"part of the brain that discharges hormones including
oxytocin and vasopressin"
neuroid,like a nerve
neurologic,"relating to the nervous system, brain or spinal cord"
neurological,pertaining to the nervous system
neurologist,"doctor who treats disorders of the central nervous
system and nerves"
neurology,study of the nervous system
neurolysis,"surgery to open the covering of a nerve to destroy a
nerve"
neuroma,growth made up of nerve tissue
neuropathy,disease of the nervous system
neuropharmacologic drug,drug that acts on the nervous system
neuroplasty,surgery to fix a nerve
neurorrhaphy,stitching a cut nerve
neurosis,mental and emotional disorder
neurotomy,surgery to make a break in a nerve
neutralize,"cancel, offset"
neutropenia,a decrease in white blood cells
nevus,mole; birthmark
nipple,"a nipple is the point at the front of the breasts. this is the
part the baby feeds from."
nocturia,too much urination at night
nocturnal haemodialysis,"a type of haemodialysis. haemodialysis is a machine that
cleans your blood when your kidneys don’t work anymore.
nocturnal dialysis is when you have the machine at night
while you are asleep."
nominal,"small, not important, token, cheap, not costly"
non-compliance,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
non-hodgkin’s lymphoma (nhl),cancer of the lymph nodes
non-invasive,"not breaking, cutting or entering the skin"
"non-st-segment-elevation
myocardial infarction (nstemi)",a type of heart attack (also called myocardial infarction)
nonpharmaceutical,
norepinephrine,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
normotensive,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
noscomial pneumonia,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
nosocomial,acquired in the hospital
notification,notice
notify,"give notice, let someon, tell, warn"
nucleus,center of a cell
nulligravida,woman that has never given birth
nullipara,woman that has never given birth to an infant that lived
numerate,count
numerous,"many, most"
nutrition,food
nutritious,notice
"nutritious
objective","wholesome, nourishing, aim, end, goal, mission"
nyctalopia,difficulty seeing at night
obesity,very
objective,notice
obligated,have to; must
obligation,"debt, duty"
obscure,notice
observation,remark
observe,notice
obsolete,"disused, out-of-date, worn-out"
obstetrician,"doctor who takes care of pregnant women and delivers
babies"
obstetrics,the study of pregnant women and childbirth
obstipation,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
obstruct,notice
obstruction,notice
obstructive sleep apnea,"breathing problems while sleeping because the airways
collapse or get closed off"
obtain,notice
obvious,notice
occasion,event
occasionally,sometimes
occlude,close off
occlusion,closing; obstruction
occult,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
occupation,notice
occur,notice
occur(s),take(s) place
occurrence,notice
ocular,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
oculmycosis,fungus infection in the eye
oculogyric,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
oculus dexter (od),right eye
oculus sinister (os),left eye
oculus uterque (ou),each eye
oligomenorrhea,"occasional and irregular menstruation that occurs every
35 days to 6 months"
oligospermia,decreased amount of sperm in semen
oliguria,decreased amount of urine
omphalitis,inflammation of the belly button
omphalocele,"a birth defect in which there is bulging of the intestine
through the body wall in the belly button region"
oncogenic,causing tumors to form
oncologist,doctor who treats cancer
oncology,the study of tumors or cancer
one tablespoon,"3 teaspoons, 15cc = 15ml"
one teaspoon,5cc = 5ml
one-time donation,"only one sample will be obtained, no further test and/or
specimens will be required"
onychectomy,surgery to remove a nail
onychocryptosis,ingrown nail
onychomalacia,softening of the nails
onychomycosis,fungal infection of the nail
onychophagia,nail biting
oophorectomy,surgery to remove the uterus and ovaries
oophoritis,inflammation of the ovary
oophorohysterectomy,surgery to remove the uterus and ovaries
open heart surgery,"a special room where doctors do operations. it has
special equipment and medicine inside. the people
who work there are trained to do operations and to
help with operations."
open label,"a medical research study in which subjects and
researchers are told which treatments the subjects are
receiving, “unblinded”"
ophthalmic,pertaining to the eye
ophthalmologist,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
ophthalmology,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
ophthalmopathy,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
ophthalmorrhagia,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
opiate,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
opiates,morphine-like medications
opportunistic,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
opportunity,chance
opthalmagia,pain in the eye
opthalmic,having to do with the eye
opthalmologist,doctor who treats eye disorders
opthalmology,the study of eye disorders
opthalmopathy,disorder of the eye
opthalmorrhagia,bleeding from the eye
optic,having to do with the eye
optic nerve,"nerve that carries visual messages from the retina to the
brain"
optician,person who makes glasses
optimal,best
option,notice
optometer,tool used in eye examinations
optometry,the study of the eye and vision
oral,having to do with the mouth
oral administration,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
orally,taken by mouth; to be swallowed
orbital,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
orchidopexy,surgery to tie down a testicle in the scrotum
orchiectomy,surgery to remove one or both testicles
orchiepididymitis,inflammation of a testicle and epididymis
orchiopexy,surgery to tie down a testicle in the scrotum
orchioplasty,surgery to fix a testicle
orchitis,notice
organ,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
orgasm,the climax of sexual excitement
orientation,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
originate,notice
orthodontist,dentist who treats teeth and jaw disorders
orthopaedic surgery,"means bones and muscles. for example, an orthopaedic
surgeon does operations on your bones and muscles."
orthopedic,pertaining to the bones
orthopedics,bones and joint doctor’s office
orthopedist,doctor who treats bone and joint disorders
orthopnea,difficult breathing except when sitting up
orthostatic,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
orthostatic hypotension,low blood pressure with change of position
orthotist,"person who puts on and teaches the use braces and
splints"
ossicles,bones of the middle ear that carry sound
ossification,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
osteoarthritis,"a disease where your bones are weak, so they break easily.
this can be caused by not getting enough calcium, some
medicines like steroids, or being on dialysis. lots of older
people, especially older women, can get osteoporosis."
osteoarthritis (oa),"disorder, which is seen mostly in older persons, in
which the joints become painful and stuff"
osteoblasts,cell that makes bone
osteocarcinoma,bone cancer growth
osteochondritis,inflammation of bone and cartilage
osteoclasis,surgery to break a bone
osteocyte,bone cell
osteofibroma,benign tumor of bone and connective tissue
osteogenesis imperfecta,"genetic disorder in which the bones are delicate and
break easily"
osteomalacia,soft bones
osteomyelitis,infection and inflammation of bone
osteonecrosis,bone death
osteopetrosis,rare bone disorder characterized by dense bone.
osteoplasty,surgery to fix a bone
osteoporosis,"osteoporosis, brittle bones"
osteoporpsis,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
osteosarcoma,cancer of bone
otalgia,earache
otitis,inflammation of the ear
otitis externa,inflammation of the outer ear canal
otitis interna,inflammation of the inner ear
otitis media,inflammation of the middle ear
otologist,doctor who treats disorders of the ear
otology,the study of the ear
otomastoiditis,inflammation of the ear together with mastoiditis
otomycosis,fungus infection in the outer ear canal
otopyorrhea,discharge of pus from the ear
otorhinolaryngologist,"doctor who treats disorders of the ear, nose, and throat"
otosclerosis,bone deposits in the inner ear
otoscope,tool used to look into the ear
outbreak,when a large number of people suddenly get sick;
outcome,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
ovaries,female sex glands
overabundance,"too much, excess"
"overabundance
palatable","excess, glut, too much, pleasing,"
ovulation,discharge of an egg from the ovary
ovum,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
oxidation,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
oximeter,tool used to measure the amount of oxygen in the blood
oxytocin,"hormone made by the brain that makes the uterus
cramp and milk come out of the breasts"
pachyderma,thickening of the skin
palatable,"pleasing, tasty, good"
palate,roof of the mouth
palatitis,inflammation of the roof of the mouth
palatoplasty,surgery to fix the roof of the mouth
palliation,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
palliative care,care intended to relieve pain
palliative treatment,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
pallor,pale color of the skin
palmar,having to do with the palm of the hand
pancreas,"organ that makes hormones, including insulin, and
digestive juices"
pancreatic,having to do with the pancreas
pancreatitis,inflammation of the pancreas
panplegia,total loss of muscle control and feeling
pansinusitis,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
pansinusitus,"inflammation of the all the sinuses on one side of the
body"
panzootic,"a flu pandemic in animals, a deadly flu pandemic in"
pap test,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
papilloedema,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
papule,pimple
para,woman who has given birth
paracentesis,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
parallel-design,"a medical research study comparing the response in
two or more groups of subjects receiving different
interventions (treatments)"
paralysis,can’t move
parameter,"boundary, limit"
paranasal sinuses,air cavities inside the bones of the face around the nose
paranoia,"psychiatric disorder involving extreme distrust and
unreasonable suspicion of other people and their motives"
paranoid,showing signs of paranoia
paraphrase,"restate, reword"
paraplegia,"complete loss of muscle control and total loss of
feeling from the waist downward"
parasite,animal or plant living off another animal or plant
parasympatholytic,drug that blocks a kind of nerve
parasympathomimetic,drug that imitates the action of a kind of nerve
parathyroid gland,"gland that makes and discharges a hormone that helps
control the amount of calcium in the blood"
parathyroidectomy,surgery to remove the parathyroid gland
parathyroidoma,growth or cancer on the parathyroid gland
paraysis,loss of ability to move muscles with loss of feeling also
parenchyma,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
parenteral,administration by injection
parenteral administration,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
paresis,muscle weakness; partial paralysis
paresthesia,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
parietal layer,layer of tissue in the wall of a cavity
parietal layer of the pericardium,layer of tissue in the sack around the heart
parkinson's disease,"a progressive disorder of the central nervous system,
seen usually in older persons, in which there is muscle
weakness, trembling and sweating"
parkinson’s disease,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
parochial,"narrow, small min"
paronychia,inflammation around the nail
paroxysm,sudden worsening of an illness; or a spasm or seizure
paroxysmal,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
partial thromboplastin time (ptt),"a test of blood clotting time used to measure substances
that help the blood to clot"
participant,person taking part
participate,take part
participation,taking part
parturition,childbirth
patch test,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
patella,kneecap
patellectomy,surgery to remove the kneecap
patency,condition of being open
patent,open
pathogen,"germ, virus, disease-causing agent"
pathogenesis,causative mechanism in a disease
pathogenic,causing disease
pathologist,"doctor who studies the changes in the body and its
tissues caused by disease"
pathology,"the study of the changes in the body and body tissue
caused by disease"
pathology samples,bone marrow and tissue samples
pediculosis,"infection with lice, which are tiny bugs"
pelvic bone,hip bone
pelvic cavity,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
"pelvic inflammatory disease
(pid)","the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
pelvic inflammatory disease (pid),"infection of any of the female reproductive organs
inside the pelvic space, including the uterus, uterine
tubes, and ovaries"
pelvimetry,"x-ray of the pelvis of the mother to make sure her
pelvis is large enough for the body to come through
during birth"
pelvis,"the pelvis is the wide circle of bones at the level of your
hips. the pelvis protects the organs of the lower stomach
including the bladder, where your wee (urine) comes from."
pelvis of the kidney,place where urine leaves the kidney
pending,disease causing
penicillin,type of antibiotic
penile implant,"artificial device put into the penis to help a man get an
erection"
penis,outer male sex organ
peptic,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
peptic ulcer,sore in the stomach or in the lining of the stomach
per os,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
per os (po),by mouth
perceive,"regard, see, view"
percussion,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
percutaneous,through the skin
"percutaneous transluminal
coronary angioplasty
(ptca)","the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
"percutaneous transluminal coronary
angioplasty (ptca)","procedure in which a small balloon is blown up inside
the blood vessel to open up a blood vessel"
perennial,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
perforation,hole
perform,disease causing
performance status,ability to do activities
pericardiotomy,surgery to make an opening into the pericardium
pericarditis,disease causing
pericardium,two-layer sack of tissue around the heart
perimetritis,inflammation of the perimetrium
perimetrium,outer layer of tissue around the uterus
perineorrhaphy,stitching a tear in the perineum
perineum,a sack that your heart sits inside.
perioperative,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
periosteum,layer of tissue that covers bone
peripheral,not central
periphery,"edge, outskirts"
peristalsis,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
peritoneal,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
peritoneum,disease causing
permanent,lasting
permission,consent
permit,disease causing
pernicious,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
perquisite,"fringe be, perk"
persevere,disease causing
persistent,disease causing
personnel,"people, staff"
perspire,sweat
persuade,disease causing
pertinent,disease causing
pertussis,whooping cough
petechia,"tiny red or purple spot on skin or other tissue caused by
bleeding"
petechiae,disease causing
petit mal,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
phacoemulsification,"method of removing a cataract by using sound waves
to break it up"
phalanges,finger and toe bones
pharmacist,disease causing
pharmacodynamics,the study of how drugs act on the body
pharmacokinetics,"the study of the way a drug enters and leaves the blood
and tissues over time"
pharyngitis,sore throat
pharynx,"area between the mouth and esophagus that performs
the swallowing action; throat"
phase i,"a medical research study using healthy volunteers;
initial safety testing of a new drug"
phase ii,"a later clinical study looking at a new drug’s dosage,
safety, and efficacy in patients"
phase iii,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
